x,y,z, ,vx,vy,vz
0.0905459,0.1989,0.142867, ,-0.0412865,0.1,0.0929478
0.0898172,0.2006,0.144435, ,-0.0428666,0.1,0.0922459
0.0890618,0.2023,0.145991, ,-0.0444348,0.1,0.0915172
0.0882799,0.204,0.147534, ,-0.0459906,0.1,0.0907618
0.0874719,0.2057,0.149063, ,-0.0475336,0.1,0.0899799
0.0866378,0.2074,0.150579, ,-0.0490632,0.1,0.0891719
0.0857779,0.2091,0.152081, ,-0.0505791,0.1,0.0883378
0.0848926,0.2108,0.153568, ,-0.0520809,0.1,0.0874779
0.0839819,0.2125,0.15504, ,-0.053568,0.1,0.0865926
0.0830462,0.2142,0.156497, ,-0.0550401,0.1,0.0856819
0.0820858,0.2159,0.157937, ,-0.0564967,0.1,0.0847462
0.0811009,0.2176,0.159362, ,-0.0579374,0.1,0.0837858
0.0800917,0.2193,0.160769, ,-0.0593617,0.1,0.0828009
0.0790586,0.221,0.16216, ,-0.0607693,0.1,0.0817917
0.0780019,0.2227,0.163533, ,-0.0621598,0.1,0.0807586
0.0769219,0.2244,0.164888, ,-0.0635327,0.1,0.0797019
0.0758188,0.2261,0.166224, ,-0.0648876,0.1,0.0786218
0.0746929,0.2278,0.167542, ,-0.0662242,0.1,0.0775188
0.0735447,0.2295,0.168841, ,-0.067542,0.1,0.0763929
0.0723744,0.2312,0.17012, ,-0.0688407,0.1,0.0752447
0.0711824,0.2329,0.171379, ,-0.0701199,0.1,0.0740744
0.069969,0.2346,0.172618, ,-0.0713791,0.1,0.0728824
0.0687344,0.2363,0.173837, ,-0.0726181,0.1,0.071669
0.0674792,0.238,0.175034, ,-0.0738365,0.1,0.0704344
0.0662036,0.2397,0.17621, ,-0.0750339,0.1,0.0691792
0.0649081,0.2414,0.177364, ,-0.0762099,0.1,0.0679036
0.0635929,0.2431,0.178497, ,-0.0773643,0.1,0.0666081
0.0622584,0.2448,0.179607, ,-0.0784966,0.1,0.0652929
0.0609051,0.2465,0.180694, ,-0.0796066,0.1,0.0639584
0.0595333,0.2482,0.181758, ,-0.0806939,0.1,0.0626051
0.0581434,0.2499,0.182799, ,-0.0817582,0.1,0.0612333
0.0567359,0.2516,0.183817, ,-0.0827992,0.1,0.0598434
0.055311,0.2533,0.18481, ,-0.0838165,0.1,0.0584359
0.0538692,0.255,0.185779, ,-0.0848099,0.1,0.057011
0.052411,0.2567,0.186724, ,-0.0857791,0.1,0.0555692
0.0509367,0.2584,0.187644, ,-0.0867238,0.1,0.054111
0.0494467,0.2601,0.188539, ,-0.0876437,0.1,0.0526367
0.0479416,0.2618,0.189408, ,-0.0885385,0.1,0.0511467
0.0464216,0.2635,0.190252, ,-0.089408,0.1,0.0496416
0.0448873,0.2652,0.19107, ,-0.0902519,0.1,0.0481216
0.0433392,0.2669,0.191862, ,-0.0910699,0.1,0.0465873
0.0417775,0.2686,0.192628, ,-0.0918619,0.1,0.0450391
0.0402028,0.2703,0.193367, ,-0.0926276,0.1,0.0434775
0.0386156,0.272,0.194079, ,-0.0933667,0.1,0.0419028
0.0370163,0.2737,0.194764, ,-0.0940791,0.1,0.0403156
0.0354053,0.2754,0.195423, ,-0.0947644,0.1,0.0387162
0.0337831,0.2771,0.196053, ,-0.0954226,0.1,0.0371053
0.0321502,0.2788,0.196657, ,-0.0960534,0.1,0.0354831
0.030507,0.2805,0.197232, ,-0.0966566,0.1,0.0338502
0.0288541,0.2822,0.19778, ,-0.0972321,0.1,0.032207
0.0271918,0.2839,0.198299, ,-0.0977796,0.1,0.0305541
0.0255207,0.2856,0.19879, ,-0.098299,0.1,0.0288918
0.0238413,0.2873,0.199253, ,-0.0987902,0.1,0.0272207
0.022154,0.289,0.199687, ,-0.0992529,0.1,0.0255413
0.0204593,0.2907,0.200093, ,-0.0996871,0.1,0.023854
0.0187577,0.2924,0.200469, ,-0.100093,0.1,0.0221593
0.0170498,0.2941,0.200817, ,-0.100469,0.1,0.0204577
0.0153359,0.2958,0.201136, ,-0.100817,0.1,0.0187497
0.0136166,0.2975,0.201426, ,-0.101136,0.1,0.0170359
0.0118923,0.2992,0.201686, ,-0.101425,0.1,0.0153165
0.0101637,0.3009,0.201917, ,-0.101686,0.1,0.0135923
